Domain, Ia2
2.499,0.245158679194
2.5,0.245469204309
2.501,0.245351259144
2.502,0.245763430218
2.503,0.44805269306
2.504,0.803249705139
2.505,1.25360170549
2.506,1.36754126759
2.507,1.31605856129
2.508,1.16400157069
2.509,0.931302620319
2.51,0.660903337427
2.511,0.495303821558
2.512,0.504892157577
2.513,0.532803742627
2.514,0.48649021686
2.515,0.428433188
2.516,0.413675944446
2.517,0.386681635934
2.518,0.311233884766
2.519,0.249019232571
2.52,0.213223116106
2.521,0.167539312571
2.522,0.120602631693
2.523,0.117242879464
2.524,0.129650927994
2.525,0.0959043844108
2.526,-0.000791778986088
2.527,-0.111988486761
2.528,-0.186418854007
2.529,-0.200876756008
2.53,-0.164977569691
2.531,-0.103762727556
2.532,-0.0620557172744
2.533,-0.0646374443557
2.534,-0.0846650166436
2.535,-0.0456301419582
2.536,0.0637686474251
2.537,0.20730342172
2.538,0.317984161192
2.539,0.392863261388
2.54,0.471146609701
2.541,0.523216090652
2.542,0.556079469385
2.543,0.596119467696
2.544,0.625532451712
2.545,0.6137467991
2.546,0.572126519243
2.547,0.532113742079
2.548,0.505902669533
2.549,0.478929080149
2.55,0.442289132646
2.551,0.394202990547
2.552,0.33376268317
2.553,0.273266390299
2.554,0.232854890236
2.555,0.21872290963
2.556,0.214125972742
2.557,0.208476885367
2.558,0.202890749406
2.559,0.194868421091
2.56,0.184132508387
2.561,0.170492840118
2.562,0.154291414418
2.563,0.141467868313
2.564,0.134674694336
2.565,0.133491386601
2.566,0.138396240059
2.567,0.145624739003
2.568,0.147496207578
2.569,0.140550231727
2.57,0.132835680804
2.571,0.134430524565
2.572,0.153625155428
2.573,0.173968757704
2.574,0.192573711917
2.575,0.209068008589
2.576,0.226977158337
2.577,0.244578400481
2.578,0.263774702477
2.579,0.290923780131
2.58,0.322127929199
2.581,0.34602979634
2.582,0.358144967707
2.583,0.361767751175
2.584,0.357688294382
2.585,0.343504310772
2.586,0.323875447404
2.587,0.306214263566
2.588,0.290175976086
2.589,0.276409408086
2.59,0.267927079401
2.591,0.264287304597
2.592,0.257769092305
2.593,0.251444710958
2.594,0.245202842974
2.595,0.238399859349
2.596,0.233431094336
2.597,0.233134936548
2.598,0.236350509716
2.599,0.243033576616
2.6,0.249990547093
2.601,0.255671941591
